_________ H3 _________
root@p4:/home/p4/P4_Labs_Docs/LabML/Codigo/r1# tcpdump -i eth0 -n not ip6 > tcpdump3.txt
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes

22:12:04.325477 IP 10.0.1.1.51722 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:04.874303 IP 10.0.1.1.56101 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:04.921952 IP 10.0.1.1.56101 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:05.472175 IP 10.0.1.1.62029 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:05.514422 IP 10.0.1.1.62029 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:06.064720 IP 10.0.1.1.57192 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:06.108627 IP 10.0.1.1.57192 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:06.659433 IP 10.0.1.1.49394 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:06.705197 IP 10.0.1.1.49394 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:07.255575 IP 10.0.1.1.64516 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:07.293582 IP 10.0.1.1.64516 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:07.824571 IP 10.0.1.1.50320 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:07.873681 IP 10.0.1.1.50320 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:08.418217 IP 10.0.1.1.54686 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:08.452918 IP 10.0.1.1.54686 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:08.989305 IP 10.0.1.1.55171 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:09.045394 IP 10.0.1.1.55171 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:09.581225 IP 10.0.1.1.60910 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:09.625771 IP 10.0.1.1.60910 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:10.173796 IP 10.0.1.1.51176 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:10.209230 IP 10.0.1.1.51176 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:10.856416 IP 10.0.1.82.65183 > 10.0.6.1.80: Flags [S], seq 4125409751, win 8192, length 0
22:12:10.865095 IP 10.0.1.1.59157 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:10.896956 IP 10.0.1.1.59157 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:10.913361 IP 10.0.1.82.53993 > 10.0.6.1.80: Flags [S], seq 4053379287, win 8192, length 0
22:12:10.969258 IP 10.0.1.82.3469 > 10.0.6.1.80: Flags [S], seq 3021476902, win 8192, length 0
22:12:11.033416 IP 10.0.1.82.33375 > 10.0.6.1.80: Flags [S], seq 2923978398, win 8192, length 0
22:12:11.092827 IP 10.0.1.82.5690 > 10.0.6.1.80: Flags [S], seq 2570399854, win 8192, length 0
22:12:11.162608 IP 10.0.1.82.46945 > 10.0.6.1.80: Flags [S], seq 3495498682, win 8192, length 0
22:12:11.237337 IP 10.0.1.82.11083 > 10.0.6.1.80: Flags [S], seq 3675956358, win 8192, length 0
22:12:11.301644 IP 10.0.1.82.58216 > 10.0.6.1.80: Flags [S], seq 3312800930, win 8192, length 0
22:12:11.369443 IP 10.0.1.82.46188 > 10.0.6.1.80: Flags [S], seq 1674236510, win 8192, length 0
22:12:11.442367 IP 10.0.1.1.51291 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:11.450597 IP 10.0.1.82.57290 > 10.0.6.1.80: Flags [S], seq 1577925450, win 8192, length 0
22:12:11.485303 IP 10.0.1.1.51291 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:11.517569 IP 10.0.1.82.64286 > 10.0.6.1.80: Flags [S], seq 2369661062, win 8192, length 0
22:12:11.585173 IP 10.0.1.82.10107 > 10.0.6.1.80: Flags [S], seq 3211674606, win 8192, length 0
22:12:11.646092 IP 10.0.1.82.62291 > 10.0.6.1.80: Flags [S], seq 4169980491, win 8192, length 0
22:12:11.709840 IP 10.0.1.82.27572 > 10.0.6.1.80: Flags [S], seq 513799660, win 8192, length 0
22:12:11.764556 IP 10.0.1.82.41713 > 10.0.6.1.80: Flags [S], seq 3062882760, win 8192, length 0
22:12:11.840501 IP 10.0.1.82.15407 > 10.0.6.1.80: Flags [S], seq 3766848660, win 8192, length 0
22:12:11.924185 IP 10.0.1.82.39660 > 10.0.6.1.80: Flags [S], seq 1161193679, win 8192, length 0
22:12:12.029544 IP 10.0.1.82.48907 > 10.0.6.1.80: Flags [S], seq 189751537, win 8192, length 0
22:12:12.039595 IP 10.0.1.1.53415 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:12.081793 IP 10.0.1.1.53415 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:12.097382 IP 10.0.1.82.56147 > 10.0.6.1.80: Flags [S], seq 1908012542, win 8192, length 0
22:12:12.157343 IP 10.0.1.82.29532 > 10.0.6.1.80: Flags [S], seq 4050593341, win 8192, length 0
22:12:12.237377 IP 10.0.1.82.31254 > 10.0.6.1.80: Flags [S], seq 2521434842, win 8192, length 0
22:12:12.301277 IP 10.0.1.82.39719 > 10.0.6.1.80: Flags [S], seq 466566266, win 8192, length 0
22:12:12.373568 IP 10.0.1.82.58476 > 10.0.6.1.80: Flags [S], seq 2827705857, win 8192, length 0
22:12:12.450197 IP 10.0.1.82.41443 > 10.0.6.1.80: Flags [S], seq 3611871761, win 8192, length 0
22:12:12.513169 IP 10.0.1.82.58115 > 10.0.6.1.80: Flags [S], seq 348318363, win 8192, length 0
22:12:12.575951 IP 10.0.1.82.20266 > 10.0.6.1.80: Flags [S], seq 2653953701, win 8192, length 0
22:12:12.619472 IP 10.0.1.1.56217 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:12.650768 IP 10.0.1.82.63712 > 10.0.6.1.80: Flags [S], seq 831613424, win 8192, length 0
22:12:12.668525 IP 10.0.1.1.56217 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:12.735115 IP 10.0.1.82.59631 > 10.0.6.1.80: Flags [S], seq 3956244130, win 8192, length 0
22:12:12.809306 IP 10.0.1.82.23154 > 10.0.6.1.80: Flags [S], seq 374078736, win 8192, length 0
22:12:12.887049 IP 10.0.1.82.30921 > 10.0.6.1.80: Flags [S], seq 3271813779, win 8192, length 0
22:12:12.962756 IP 10.0.1.82.1460 > 10.0.6.1.80: Flags [S], seq 4118899519, win 8192, length 0
22:12:13.041325 IP 10.0.1.82.51059 > 10.0.6.1.80: Flags [S], seq 4290939738, win 8192, length 0
22:12:13.111365 IP 10.0.1.82.48037 > 10.0.6.1.80: Flags [S], seq 863988878, win 8192, length 0
22:12:13.205956 IP 10.0.1.82.25937 > 10.0.6.1.80: Flags [S], seq 1990217649, win 8192, length 0
22:12:13.224356 IP 10.0.1.1.49460 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:13.260268 IP 10.0.1.1.49460 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:13.269973 IP 10.0.1.82.45321 > 10.0.6.1.80: Flags [S], seq 892621808, win 8192, length 0
22:12:13.335572 IP 10.0.1.82.32841 > 10.0.6.1.80: Flags [S], seq 265092172, win 8192, length 0
22:12:13.400686 IP 10.0.1.82.22530 > 10.0.6.1.80: Flags [S], seq 1192348870, win 8192, length 0
22:12:13.473595 IP 10.0.1.82.4439 > 10.0.6.1.80: Flags [S], seq 3963501505, win 8192, length 0
22:12:13.533135 IP 10.0.1.82.37367 > 10.0.6.1.80: Flags [S], seq 1407673762, win 8192, length 0
22:12:13.593236 IP 10.0.1.82.13942 > 10.0.6.1.80: Flags [S], seq 2093599519, win 8192, length 0
22:12:13.644704 IP 10.0.1.82.30036 > 10.0.6.1.80: Flags [S], seq 4205681041, win 8192, length 0
22:12:13.709608 IP 10.0.1.82.62697 > 10.0.6.1.80: Flags [S], seq 4049372275, win 8192, length 0
22:12:13.769052 IP 10.0.1.82.64723 > 10.0.6.1.80: Flags [S], seq 300997258, win 8192, length 0
22:12:13.814856 IP 10.0.1.1.60632 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:13.834075 IP 10.0.1.82.27021 > 10.0.6.1.80: Flags [S], seq 3097636434, win 8192, length 0
22:12:13.870547 IP 10.0.1.1.60632 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:13.901804 IP 10.0.1.82.60321 > 10.0.6.1.80: Flags [S], seq 3138447202, win 8192, length 0
22:12:13.957296 IP 10.0.1.82.31531 > 10.0.6.1.80: Flags [S], seq 1329617028, win 8192, length 0
22:12:14.018728 IP 10.0.1.82.22738 > 10.0.6.1.80: Flags [S], seq 3505923613, win 8192, length 0
22:12:14.095296 IP 10.0.1.82.19911 > 10.0.6.1.80: Flags [S], seq 1172073477, win 8192, length 0
22:12:14.158802 IP 10.0.1.82.57789 > 10.0.6.1.80: Flags [S], seq 417399911, win 8192, length 0
22:12:14.231014 IP 10.0.1.82.53150 > 10.0.6.1.80: Flags [S], seq 2666128228, win 8192, length 0
22:12:14.302369 IP 10.0.1.82.47145 > 10.0.6.1.80: Flags [S], seq 3627469497, win 8192, length 0
22:12:14.369605 IP 10.0.1.82.30512 > 10.0.6.1.80: Flags [S], seq 3063797050, win 8192, length 0
22:12:14.421811 IP 10.0.1.1.58712 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:14.436913 IP 10.0.1.82.48373 > 10.0.6.1.80: Flags [S], seq 176971022, win 8192, length 0
22:12:14.458802 IP 10.0.1.1.58712 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:14.511311 IP 10.0.1.82.23105 > 10.0.6.1.80: Flags [S], seq 4132543709, win 8192, length 0
22:12:14.583662 IP 10.0.1.82.1373 > 10.0.6.1.80: Flags [S], seq 2858225120, win 8192, length 0
22:12:14.638303 IP 10.0.1.82.62633 > 10.0.6.1.80: Flags [S], seq 3938578921, win 8192, length 0
22:12:14.711270 IP 10.0.1.82.22431 > 10.0.6.1.80: Flags [S], seq 1839474, win 8192, length 0
22:12:14.794530 IP 10.0.1.82.12575 > 10.0.6.1.80: Flags [S], seq 1080695923, win 8192, length 0
22:12:14.893523 IP 10.0.1.82.35275 > 10.0.6.1.80: Flags [S], seq 2839855487, win 8192, length 0
22:12:14.964991 IP 10.0.1.82.1326 > 10.0.6.1.80: Flags [S], seq 1632806605, win 8192, length 0
22:12:15.006405 IP 10.0.1.1.63788 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:15.040916 IP 10.0.1.1.63788 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:15.040947 IP 10.0.1.82.52596 > 10.0.6.1.80: Flags [S], seq 2192549513, win 8192, length 0
22:12:15.094561 IP 10.0.1.82.52363 > 10.0.6.1.80: Flags [S], seq 133975573, win 8192, length 0
22:12:15.149570 IP 10.0.1.82.31483 > 10.0.6.1.80: Flags [S], seq 3074284050, win 8192, length 0
22:12:15.209373 IP 10.0.1.82.20320 > 10.0.6.1.80: Flags [S], seq 224008633, win 8192, length 0
22:12:15.268729 IP 10.0.1.82.5438 > 10.0.6.1.80: Flags [S], seq 2304635531, win 8192, length 0
22:12:15.325613 IP 10.0.1.82.6519 > 10.0.6.1.80: Flags [S], seq 3602348945, win 8192, length 0
22:12:15.377054 IP 10.0.1.82.50621 > 10.0.6.1.80: Flags [S], seq 642066560, win 8192, length 0
22:12:15.436882 IP 10.0.1.82.41302 > 10.0.6.1.80: Flags [S], seq 3231259418, win 8192, length 0
22:12:15.502667 IP 10.0.1.82.37172 > 10.0.6.1.80: Flags [S], seq 3684844024, win 8192, length 0
22:12:15.557296 IP 10.0.1.82.57920 > 10.0.6.1.80: Flags [S], seq 4083404729, win 8192, length 0
22:12:15.573207 IP 10.0.1.1.57520 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:15.624480 IP 10.0.1.82.37181 > 10.0.6.1.80: Flags [S], seq 2504435016, win 8192, length 0
22:12:15.641437 IP 10.0.1.1.57520 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:15.714906 IP 10.0.1.82.55248 > 10.0.6.1.80: Flags [S], seq 486525145, win 8192, length 0
22:12:15.779825 IP 10.0.1.82.48180 > 10.0.6.1.80: Flags [S], seq 942021215, win 8192, length 0
22:12:15.866632 IP 10.0.1.82.10317 > 10.0.6.1.80: Flags [S], seq 3965288566, win 8192, length 0
22:12:15.951255 IP 10.0.1.82.60598 > 10.0.6.1.80: Flags [S], seq 948804917, win 8192, length 0
22:12:16.029453 IP 10.0.1.82.41711 > 10.0.6.1.80: Flags [S], seq 2355209835, win 8192, length 0
22:12:16.089886 IP 10.0.1.82.39156 > 10.0.6.1.80: Flags [S], seq 1177408240, win 8192, length 0
22:12:16.171494 IP 10.0.1.82.24752 > 10.0.6.1.80: Flags [S], seq 3414698813, win 8192, length 0
22:12:16.190062 IP 10.0.1.1.62356 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:16.241557 IP 10.0.1.1.62356 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:16.260684 IP 10.0.1.82.20409 > 10.0.6.1.80: Flags [S], seq 2835902917, win 8192, length 0
22:12:16.318412 IP 10.0.1.82.6010 > 10.0.6.1.80: Flags [S], seq 4228935009, win 8192, length 0
22:12:16.379521 IP 10.0.1.82.11402 > 10.0.6.1.80: Flags [S], seq 173992151, win 8192, length 0
22:12:16.446437 IP 10.0.1.82.21737 > 10.0.6.1.80: Flags [S], seq 4141082102, win 8192, length 0
22:12:16.513570 IP 10.0.1.82.41052 > 10.0.6.1.80: Flags [S], seq 2032189829, win 8192, length 0
22:12:16.572954 IP 10.0.1.82.65080 > 10.0.6.1.80: Flags [S], seq 4286140470, win 8192, length 0
22:12:16.635479 IP 10.0.1.82.9351 > 10.0.6.1.80: Flags [S], seq 1285400325, win 8192, length 0
22:12:16.685916 IP 10.0.1.82.64534 > 10.0.6.1.80: Flags [S], seq 3427508062, win 8192, length 0
22:12:16.757522 IP 10.0.1.82.49616 > 10.0.6.1.80: Flags [S], seq 1860350413, win 8192, length 0
22:12:16.803016 IP 10.0.1.1.53896 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:16.850945 IP 10.0.1.82.35297 > 10.0.6.1.80: Flags [S], seq 1982439182, win 8192, length 0
22:12:16.866526 IP 10.0.1.1.53896 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:16.941606 IP 10.0.1.82.45815 > 10.0.6.1.80: Flags [S], seq 3693014807, win 8192, length 0
22:12:17.032337 IP 10.0.1.82.2273 > 10.0.6.1.80: Flags [S], seq 1659348436, win 8192, length 0
22:12:17.092656 IP 10.0.1.82.8268 > 10.0.6.1.80: Flags [S], seq 1059887963, win 8192, length 0
22:12:17.175177 IP 10.0.1.82.42052 > 10.0.6.1.80: Flags [S], seq 1963280696, win 8192, length 0
22:12:17.233758 IP 10.0.1.82.28336 > 10.0.6.1.80: Flags [S], seq 2437117737, win 8192, length 0
22:12:17.286059 IP 10.0.1.82.64511 > 10.0.6.1.80: Flags [S], seq 1383545554, win 8192, length 0
22:12:17.337174 IP 10.0.1.82.51637 > 10.0.6.1.80: Flags [S], seq 3002371056, win 8192, length 0
22:12:17.399850 IP 10.0.1.82.2502 > 10.0.6.1.80: Flags [S], seq 1625148521, win 8192, length 0
22:12:17.421116 IP 10.0.1.1.64175 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:17.462718 IP 10.0.1.1.64175 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:17.469136 IP 10.0.1.82.8595 > 10.0.6.1.80: Flags [S], seq 3575790502, win 8192, length 0
22:12:17.537798 IP 10.0.1.82.55666 > 10.0.6.1.80: Flags [S], seq 3750349854, win 8192, length 0
22:12:17.617905 IP 10.0.1.82.65297 > 10.0.6.1.80: Flags [S], seq 352999317, win 8192, length 0
22:12:17.682706 IP 10.0.1.82.20142 > 10.0.6.1.80: Flags [S], seq 1859339829, win 8192, length 0
22:12:17.745472 IP 10.0.1.82.16420 > 10.0.6.1.80: Flags [S], seq 2237273250, win 8192, length 0
22:12:17.806859 IP 10.0.1.82.7964 > 10.0.6.1.80: Flags [S], seq 3953197230, win 8192, length 0
22:12:17.856914 IP 10.0.1.82.52866 > 10.0.6.1.80: Flags [S], seq 2210084782, win 8192, length 0
22:12:17.939073 IP 10.0.1.82.18917 > 10.0.6.1.80: Flags [S], seq 1828813380, win 8192, length 0
22:12:18.014740 IP 10.0.1.1.60770 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:18.020701 IP 10.0.1.82.62321 > 10.0.6.1.80: Flags [S], seq 4028610515, win 8192, length 0
22:12:18.061569 IP 10.0.1.1.60770 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:18.089229 IP 10.0.1.82.53836 > 10.0.6.1.80: Flags [S], seq 942518267, win 8192, length 0
22:12:18.163456 IP 10.0.1.82.14980 > 10.0.6.1.80: Flags [S], seq 2247200911, win 8192, length 0
22:12:18.221195 IP 10.0.1.82.17872 > 10.0.6.1.80: Flags [S], seq 1355674842, win 8192, length 0
22:12:18.285140 IP 10.0.1.82.59283 > 10.0.6.1.80: Flags [S], seq 2090653954, win 8192, length 0
22:12:18.361377 IP 10.0.1.82.49871 > 10.0.6.1.80: Flags [S], seq 3573503499, win 8192, length 0
22:12:18.435713 IP 10.0.1.82.19003 > 10.0.6.1.80: Flags [S], seq 3592622693, win 8192, length 0
22:12:18.493257 IP 10.0.1.82.8782 > 10.0.6.1.80: Flags [S], seq 3347889042, win 8192, length 0
22:12:18.565093 IP 10.0.1.82.41833 > 10.0.6.1.80: Flags [S], seq 1281480980, win 8192, length 0
22:12:18.617508 IP 10.0.1.1.65081 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:18.625696 IP 10.0.1.82.35260 > 10.0.6.1.80: Flags [S], seq 3047574348, win 8192, length 0
22:12:18.657365 IP 10.0.1.1.65081 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:18.692306 IP 10.0.1.82.20063 > 10.0.6.1.80: Flags [S], seq 2974838880, win 8192, length 0
22:12:18.749867 IP 10.0.1.82.41830 > 10.0.6.1.80: Flags [S], seq 1004096348, win 8192, length 0
22:12:18.812375 IP 10.0.1.82.58941 > 10.0.6.1.80: Flags [S], seq 2845412412, win 8192, length 0
22:12:18.869443 IP 10.0.1.82.25467 > 10.0.6.1.80: Flags [S], seq 2220486564, win 8192, length 0
22:12:18.924569 IP 10.0.1.82.63060 > 10.0.6.1.80: Flags [S], seq 3598375756, win 8192, length 0
22:12:18.977641 IP 10.0.1.82.58440 > 10.0.6.1.80: Flags [S], seq 1838456092, win 8192, length 0
22:12:19.053253 IP 10.0.1.82.41396 > 10.0.6.1.80: Flags [S], seq 905094672, win 8192, length 0
22:12:19.133155 IP 10.0.1.82.54658 > 10.0.6.1.80: Flags [S], seq 3769320970, win 8192, length 0
22:12:19.193899 IP 10.0.1.1.60404 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:19.193921 IP 10.0.1.82.60781 > 10.0.6.1.80: Flags [S], seq 2380336370, win 8192, length 0
22:12:19.217832 IP 10.0.1.1.60404 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:19.263542 IP 10.0.1.82.55691 > 10.0.6.1.80: Flags [S], seq 2774735741, win 8192, length 0
22:12:19.328315 IP 10.0.1.82.32019 > 10.0.6.1.80: Flags [S], seq 1330316100, win 8192, length 0
22:12:19.410184 IP 10.0.1.82.12967 > 10.0.6.1.80: Flags [S], seq 3556685213, win 8192, length 0
22:12:19.485249 IP 10.0.1.82.31161 > 10.0.6.1.80: Flags [S], seq 3790400677, win 8192, length 0
22:12:19.552891 IP 10.0.1.82.32871 > 10.0.6.1.80: Flags [S], seq 1055377280, win 8192, length 0
22:12:19.612363 IP 10.0.1.82.16701 > 10.0.6.1.80: Flags [S], seq 2244227883, win 8192, length 0
22:12:19.689966 IP 10.0.1.82.49857 > 10.0.6.1.80: Flags [S], seq 2821279473, win 8192, length 0
22:12:19.748587 IP 10.0.1.1.63940 > 10.0.6.1.80: Flags [S], seq 0, win 8192, length 0
22:12:19.752851 IP 10.0.1.82.43213 > 10.0.6.1.80: Flags [S], seq 1058720264, win 8192, length 0
22:12:19.794879 IP 10.0.1.1.63940 > 10.0.6.1.80: Flags [.], ack 0, win 8192, length 0
22:12:19.826247 IP 10.0.1.82.48375 > 10.0.6.1.80: Flags [S], seq 3478023851, win 8192, length 0
22:12:19.884234 IP 10.0.1.82.49462 > 10.0.6.1.80: Flags [S], seq 19685487, win 8192, length 0
22:12:19.953297 IP 10.0.1.82.8625 > 10.0.6.1.80: Flags [S], seq 2817500496, win 8192, length 0
